Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
1700.0,3,3.0,1,1.0,28000000,1,1,1
1600.0,3,3.0,1,2.0,29500000,1,1,1
1500.0,1,2.0,1,0.0,13500000,1,1,2
800.0,2,2.0,1,1.0,14000000,1,2,1
1710.0,3,3.0,2,4.0,26000000,1,2,1
1350.0,2,2.0,3,4.0,12500000,1,1,1
1500.0,3,3.0,2,2.0,26000000,1,2,1
750.0,2,2.0,2,2.0,11500000,1,2,1
850.0,2,2.0,2,2.0,14600000,1,1,1
1575.0,3,3.0,2,1.0,25500000,1,2,1
1675.0,3,3.0,2,2.0,31000000,1,2,1
1350.0,3,3.0,2,2.0,22000000,1,1,1
900.0,2,2.0,2,2.0,13400000,1,2,1
1800.0,3,3.0,2,2.0,35000000,2,2,1
900.0,2,2.0,3,2.0,11000000,1,1,1
900.0,2,2.0,1,2.0,6300000,1,1,1
900.0,2,2.0,3,2.0,12500000,1,1,1
800.0,2,2.0,1,1.0,14500000,1,2,1
1100.0,2,3.0,2,1.0,22500000,1,2,1
810.0,2,2.0,2,1.0,15500000,1,2,1
1500.0,3,3.0,2,1.0,26000000,1,2,1
900.0,2,2.0,2,1.0,15800000,1,2,1
825.0,2,2.0,1,1.0,15000000,1,2,1
900.0,2,2.0,1,1.0,13000000,1,2,1
875.0,2,2.0,1,1.0,15000000,1,2,1
1350.0,3,3.0,2,1.0,25000000,1,2,1
750.0,2,2.0,2,1.0,16500000,1,2,1
900.0,2,2.0,1,1.0,10300000,1,2,1
1350.0,3,3.0,2,1.0,26000000,1,2,1
900.0,2,2.0,1,1.0,11000000,1,1,1
1800.0,3,3.0,1,1.0,28500000,1,2,1
900.0,2,2.0,1,1.0,11000000,1,1,1
900.0,2,1.0,3,1.0,11000000,1,1,2
810.0,3,2.0,2,1.0,4500000,1,1,1
450.0,2,1.0,1,1.0,3600000,1,1,1
100.0,3,2.0,3,1.0,4300000,1,2,1
900.0,3,2.0,2,1.0,4000000,1,1,1
500.0,2,2.0,2,1.0,1650000,1,1,2
450.0,1,1.0,3,1.0,2000000,1,1,1
75.0,2,2.0,2,1.0,3000000,1,1,1
270.0,2,1.0,2,1.0,1400000,1,1,2
500.0,2,1.0,2,1.0,2000000,1,1,1
444.0,2,2.0,1,1.0,2000000,1,1,2
400.0,1,1.0,3,1.0,2000000,1,1,1
729.0,3,4.0,3,1.0,2600000,1,1,1
4050.0,6,3.0,3,1.0,5100000,1,1,1
2400.0,6,4.0,3,1.0,6000000,1,1,1
450.0,2,2.0,3,1.0,4000000,1,1,1
405.0,2,3.0,3,1.0,6200000,1,1,1
666.0,1,2.0,3,1.0,3500000,1,1,1
1000.0,2,2.0,2,1.0,7600000,1,1,2
1360.0,4,3.0,2,1.0,13500000,1,2,1
1550.0,4,3.0,2,1.0,12500000,1,2,1
850.0,3,2.0,2,1.0,6500000,1,2,1
2170.0,4,4.0,1,2.0,22000000,1,2,1
720.0,3,2.0,2,1.0,6000000,1,2,1
850.0,3,2.0,2,1.0,7300000,1,2,1
950.0,3,2.0,2,1.0,7600000,1,2,1
2300.0,4,4.0,2,1.0,20000000,1,2,1
1300.0,4,4.0,2,1.0,15000000,1,2,1
1100.0,3,2.0,2,1.0,6200000,1,2,1
1030.0,3,2.0,3,1.0,6200000,1,2,1
350.0,1,1.0,2,1.0,2300000,1,2,1
750.0,2,2.0,2,1.0,5000000,1,2,2
720.0,2,2.0,2,1.0,4700000,1,2,2
800.0,2,2.0,2,1.0,5500000,1,2,2
350.0,1,1.0,2,1.0,2000000,1,2,2
980.0,3,2.0,2,1.0,7300000,1,2,2
1600.0,4,3.0,2,1.0,13000000,1,2,2
1450.0,3,3.0,2,1.0,11500000,1,2,2
445.0,2,2.0,2,1.0,2800000,1,2,2
380.0,1,1.0,2,1.0,2200000,1,2,2
680.0,2,2.0,2,1.0,4400000,1,2,2
1600.0,3,3.0,2,1.0,13500000,1,2,2
630.0,2,2.0,2,1.0,4100000,1,2,2
1500.0,3,2.0,2,1.0,12000000,1,2,2
550.0,2,2.0,2,1.0,3500000,1,2,2
2500.0,4,3.0,2,1.0,15000000,1,2,2
2800.0,5,4.0,2,1.0,17500000,1,2,2
300.0,1,1.0,2,1.0,1900000,1,2,2
800.0,3,2.0,2,1.0,5500000,1,2,2
1295.0,3,2.0,2,1.0,10000000,1,2,2
700.0,3,2.0,2,1.0,4700000,1,2,2
350.0,1,1.0,2,1.0,2400000,1,2,1
450.0,2,2.0,2,1.0,3800000,1,2,1
2200.0,4,4.0,2,1.0,23000000,1,2,1
2300.0,4,4.0,2,1.0,24500000,1,2,1
1150.0,3,2.0,2,1.0,10000000,1,2,1
800.0,3,2.0,2,1.0,5500000,1,2,1
850.0,3,2.0,2,1.0,7000000,1,2,1
720.0,3,2.0,2,1.0,6500000,1,2,1
4688.0,5,4.0,1,1.0,135000000,2,2,2
750.0,2,2.0,2,1.0,5000000,1,2,2
3901.0,4,4.0,1,1.0,93000000,2,2,2
950.0,3,2.0,3,1.0,4370000,1,2,2
1000.0,3,2.0,1,1.0,4620000,1,2,2
850.0,2,1.0,2,1.0,1900000,1,2,2
2400.0,4,4.0,2,1.0,70000000,1,2,2
1350.0,3,2.0,1,1.0,5130000,1,2,2
540.0,2,2.0,2,1.0,3000000,1,2,2
1387.0,4,4.0,1,1.0,5890000,1,2,2
540.0,2,2.0,2,1.0,3300000,1,2,2
976.0,2,2.0,3,1.0,24900000,1,2,2
1050.0,3,2.0,1,1.0,3700000,1,2,2
2700.0,4,3.0,2,1.0,60000000,1,2,1
1500.0,3,2.0,1,1.0,17400000,1,1,2
2900.0,5,5.0,3,1.0,51000000,2,2,1
5025.0,5,6.0,1,4.0,170000000,2,2,1
1000.0,3,2.0,2,1.0,5510000,2,2,1
1135.0,3,3.0,3,2.0,25000000,2,1,2
2306.0,3,3.0,1,1.0,57000000,2,2,2
850.0,2,2.0,2,1.0,2940000,2,2,2
1200.0,3,3.0,2,1.0,15500000,1,1,2
1700.0,3,2.0,2,1.0,17200000,1,1,2
1800.0,4,3.0,2,2.0,55000000,1,1,1
1100.0,2,2.0,2,1.0,15000000,1,1,2
22050.0,4,4.0,2,2.0,51000000,2,2,1
